<<<<<<< HEAD
Data,Date,Month,Company ,Industry Sector,Gender,,Accident type,
01-01-2016 00:00,2016,January,Company_01,Mining,Male,,Pressed,
02-01-2016 00:00,2016,January,Company_02,Mining,Male,,Pressurized Systems,
06-01-2016 00:00,2016,January,Company_01,Mining,Male,,Manual Tools,
08-01-2016 00:00,2016,January,Company_01,Mining,Male,,Others,
10-01-2016 00:00,2016,January,Company_01,Mining,Male,,Others,
12-01-2016 00:00,2016,January,Company_02,Metals,Male,,Pressurized Systems,
16-01-2016 00:00,2016,January,Company_02,Metals,Male,,Fall prevention (same level),
17-01-2016 00:00,2016,January,Company_01,Mining,Male,,Pressed,
19-01-2016 00:00,2016,January,Company_02,Mining,Male,,Others,
26-01-2016 00:00,2016,January,Company_01,Metals,Male,,Chemical substances,
28-01-2016 00:00,2016,January,Company_01,Mining,Male,,Others,
30-01-2016 00:00,2016,January,Company_01,Mining,Male,,Others,
01-02-2016 00:00,2016,February,Company_02,Metals,Male,,Liquid Metal,
02-02-2016 00:00,2016,February,Company_01,Mining,Male,,Electrical installation,
04-02-2016 00:00,2016,February,Company_02,Metals,Male,,Confined space,
04-02-2016 00:00,2016,February,Company_02,Metals,Male,,Liquid Metal,
06-02-2016 00:00,2016,February,Company_01,Mining,Male,,Others,
07-02-2016 00:00,2016,February,Company_01,Metals,Female,,Others,
08-02-2016 00:00,2016,February,Company_01,Metals,Male,,Others,
21-02-2016 00:00,2016,February,Company_01,Metals,Male,,Others,
25-02-2016 00:00,2016,February,Company_01,Metals,Male,,Others,
09-02-2016 00:00,2016,February,Company_01,Mining,Male,,Others,
10-02-2016 00:00,2016,February,Company_01,Mining,Male,,Others,
15-02-2016 00:00,2016,February,Company_02,Mining,Male,,Others,
14-02-2016 00:00,2016,February,Company_01,Metals,Male,,Others,
15-02-2016 00:00,2016,February,Company_01,Metals,Male,,Manual Tools,
13-02-2016 00:00,2016,February,Company_01,Mining,Male,,Others,
15-02-2016 00:00,2016,February,Company_01,Mining,Male,,Others,
16-02-2016 00:00,2016,February,Company_01,Mining,Male,,Others,
16-02-2016 00:00,2016,February,Company_02,Mining,Male,,Others,
17-02-2016 00:00,2016,February,Company_01,Mining,Male,,Others,
19-02-2016 00:00,2016,February,Company_01,Mining,Male,,Others,
21-02-2016 00:00,2016,February,Company_01,Mining,Male,,Others,
20-02-2016 00:00,2016,February,Company_01,Mining,Male,,Others,
15-02-2016 00:00,2016,February,Company_02,Metals,Male,,Others,
18-02-2016 00:00,2016,February,Company_02,Metals,Male,,Pressed,
22-02-2016 00:00,2016,February,Company_01,Mining,Male,,Others,
24-02-2016 00:00,2016,February,Company_02,Mining,Male,,Others,
24-02-2016 00:00,2016,February,Company_02,Mining,Female,,Others,
24-02-2016 00:00,2016,February,Company_01,Mining,Male,,Others,
29-02-2016 00:00,2016,February,Company_02,Mining,Male,,Others,
26-02-2016 00:00,2016,February,Company_01,Metals,Male,,Pressurized Systems / Chemical Substances,
26-02-2016 00:00,2016,February,Company_01,Metals,Male,,Pressurized Systems / Chemical Substances,
26-02-2016 00:00,2016,February,Company_01,Metals,Male,,Pressurized Systems / Chemical Substances,
26-02-2016 00:00,2016,February,Company_01,Metals,Male,,Pressurized Systems / Chemical Substances,
26-02-2016 00:00,2016,February,Company_01,Metals,Male,,Pressurized Systems / Chemical Substances,
26-02-2016 00:00,2016,February,Company_01,Metals,Male,,Pressurized Systems / Chemical Substances,
26-02-2016 00:00,2016,February,Company_01,Metals,Male,,Pressurized Systems / Chemical Substances,
26-02-2016 00:00,2016,February,Company_01,Metals,Male,,Pressurized Systems / Chemical Substances,
26-02-2016 00:00,2016,February,Company_01,Metals,Male,,Pressurized Systems / Chemical Substances,
26-02-2016 00:00,2016,February,Company_01,Metals,Male,,Pressurized Systems / Chemical Substances,
26-02-2016 00:00,2016,February,Company_01,Metals,Male,,Pressurized Systems / Chemical Substances,
26-02-2016 00:00,2016,February,Company_01,Metals,Male,,Pressurized Systems / Chemical Substances,
26-02-2016 00:00,2016,February,Company_01,Metals,Male,,Pressurized Systems / Chemical Substances,
27-02-2016 00:00,2016,February,Company_01,Mining,Male,,Others,
02-03-2016 00:00,2016,March,Company_02,Metals,Male,,Pressed,
02-03-2016 00:00,2016,March,Company_01,Metals,Male,,Blocking and isolation of energies,
03-03-2016 00:00,2016,March,Company_01,Mining,Male,,Others,
04-03-2016 00:00,2016,March,Company_01,Metals,Male,,Manual Tools,
05-03-2016 00:00,2016,March,Company_01,Mining,Male,,Others,
06-03-2016 00:00,2016,March,Company_01,Mining,Male,,Others,
06-03-2016 00:00,2016,March,Company_01,Mining,Male,,Others,
09-03-2016 00:00,2016,March,Company_01,Metals,Male,,Suspended Loads,
11-03-2016 00:00,2016,March,Company_01,Mining,Male,,Others,
11-03-2016 00:00,2016,March,Company_01,Mining,Male,,Others,
13-03-2016 00:00,2016,March,Company_01,Mining,Male,,Others,
12-03-2016 00:00,2016,March,Company_02,Mining,Male,,Others,
14-03-2016 00:00,2016,March,Company_01,Metals,Male,,Chemical substances,
13-03-2016 00:00,2016,March,Company_01,Mining,Male,,Others,
16-03-2016 00:00,2016,March,Company_01,Mining,Male,,Others,
10-03-2016 00:00,2016,March,Company_02,Metals,Male,,Pressed,
17-03-2016 00:00,2016,March,Company_01,Mining,Male,,Others,
16-03-2016 00:00,2016,March,Company_02,Metals,Male,,Manual Tools,
18-03-2016 00:00,2016,March,Company_01,Mining,Male,,Others,
19-03-2016 00:00,2016,March,Company_01,Mining,Male,,Others,
14-03-2016 00:00,2016,March,Company_02,Metals,Male,,Chemical substances,
18-03-2016 00:00,2016,March,Company_02,Metals,Male,,Fall prevention (same level),
18-03-2016 00:00,2016,March,Company_02,Metals,Male,,Chemical substances,
22-03-2016 00:00,2016,March,Company_01,Mining,Male,,Others,
22-03-2016 00:00,2016,March,Company_01,Mining,Male,,Others,
25-03-2016 00:00,2016,March,Company_01,Mining,Male,,Others,
30-03-2016 00:00,2016,March,Company_01,Mining,Male,,Others,
30-03-2016 00:00,2016,March,Company_01,Mining,Male,,Others,
31-03-2016 00:00,2016,March,Company_01,Metals,Male,,Others,
31-03-2016 00:00,2016,March,Company_02,Metals,Male,,Pressed,
01-04-2016 00:00,2016,April,Company_01,Mining,Male,,Others,
03-04-2016 00:00,2016,April,Company_01,Mining,Male,,Others,
02-04-2016 00:00,2016,April,Company_01,Mining,Male,,Others,
01-04-2016 00:00,2016,April,Company_01,Mining,Male,,Others,
01-04-2016 00:00,2016,April,Company_01,Mining,Male,,Others,
10-03-2016 00:00,2016,March,Company_03,Others,Male,,Others,
24-03-2016 00:00,2016,March,Company_03,Others,Male,,Poll,
22-03-2016 00:00,2016,March,Company_03,Others,Male,,Others,
31-03-2016 00:00,2016,March,Company_01,Mining,Male,,Others,
04-04-2016 00:00,2016,April,Company_02,Metals,Male,,Manual Tools,
05-04-2016 00:00,2016,April,Company_01,Metals,Male,,Fall prevention (same level),
05-04-2016 00:00,2016,April,Company_02,Metals,Male,,Pressed,
07-04-2016 00:00,2016,April,Company_01,Mining,Male,,Others,
08-04-2016 00:00,2016,April,Company_01,Mining,Male,,Others,
11-04-2016 00:00,2016,April,Company_01,Mining,Male,,Others,
